分类,风格提示词
影视风格,王家卫电影风格：慢镜头+模糊边缘+饱和色彩
影视风格,诺兰式倒叙结构：非线性时间轴+暗色调
影视风格,黑泽明剧场感：高反差黑白影调+固定机位
影视风格,港片光影风格：霓虹反光+快速切换镜头
影视风格,韩剧慢镜头浪漫：柔光+背景虚化+配乐旋律
影视风格,宫崎骏动画感：自然色彩+清新构图+手绘质感
影视风格,漫威大片感：大场景+爆炸特效+CG合成
影视风格,皮克斯动画质感：明亮色彩+卡通建模+情感流动
影视风格,张艺谋色彩对比风格：红绿对撞+对称构图
影视风格,李安东方写实风：自然光线+内敛情绪
影视风格,西部片风格：荒漠远景+冷暖对比+低角度
影视风格,法式文艺风：碎片叙事+自然光影+低饱和
影视风格,纪录片感：自然光+镜头抖动+真实色调
影视风格,港风怀旧感：黄色滤镜+慢动作走位
影视风格,黑色电影风格：强光阴影+硬汉独白+反光雨夜
影视风格,美式青春片风格：明快节奏+活力色彩
影视风格,印度歌舞片风格：高饱和+快速剪辑+群舞镜头
影视风格,欧洲冷感系：灰白色调+极简构图
影视风格,BBC纪录片感：精致构图+慢推镜头+旁白配音
影视风格,Netflix惊悚剧风格：低光源+突变音效+细节特写
画面质感,胶片颗粒感+复古色调
画面质感,VHS旧录像风+画面噪点
画面质感,高清8K画质+锐化边缘
画面质感,油画风滤镜+厚重笔触感
画面质感,水彩柔焦画感+手绘轮廓
画面质感,赛博朋克噪点+冷紫蓝色调
画面质感,黑白极简质感+强光阴影
画面质感,HDR高动态对比+金属质感
画面质感,质感磨砂风格+柔光过渡
画面质感,蜡笔涂抹风格+颜色跳跃
画面质感,金属银灰画面+冰冷质感
画面质感,潮流闪烁画质+霓虹叠影
画面质感,木刻风风格+线条粗糙感
画面质感,像素马赛克风+90年代风情
画面质感,胶片曝光风格+色彩晕染
画面质感,梦幻画质+光斑散射效果
画面质感,质感磨皮处理+奶油柔光
画面质感,工业风画质+灰色调颗粒
画面质感,超现实清晰风+异化边缘
画面质感,复古明信片风+褪色怀旧
灯光色调,霓虹灯+紫蓝色冷调
灯光色调,日出金光+橙红过渡
灯光色调,阴雨天蓝灰色+湿润反光
灯光色调,清晨自然光+低对比
灯光色调,黄昏暖光+柔和高光
灯光色调,夜景灯火辉煌+反光地面
灯光色调,车灯反射+都市光污染
灯光色调,工业冷光+白蓝高亮
灯光色调,蜡烛光源+暖色微光
灯光色调,金属质感灯光+蓝紫边缘光
灯光色调,摄影棚高反差灯光+全白背景
灯光色调,窗户光影+植物投影
灯光色调,教堂彩色玻璃光+斑斓光斑
灯光色调,落日逆光+眩光高反差
灯光色调,办公室荧光灯+冷白打光
灯光色调,舞台聚光灯+色彩切换
灯光色调,水底反光+斑驳波纹
灯光色调,森林穿透光+轻微雾气
灯光色调,火焰照明+动态闪烁
灯光色调,天光洒落+反光纸折射
摄影手法,手持镜头+轻微晃动
摄影手法,航拍鸟瞰+大场景过渡
摄影手法,第一人称POV+真实体验
摄影手法,转场模糊拉动+快速推镜
摄影手法,定格拍摄+帧率降低
摄影手法,慢动作特写+延时轨迹
摄影手法,拉近面部镜头+情绪捕捉
摄影手法,360环绕镜头+情绪包围
摄影手法,滑轨平移镜头+画面稳定
摄影手法,无人机追拍+城市视角
摄影手法,双人跟随视角+同步镜头
摄影手法,镜头推进+背景虚化
摄影手法,过肩视角+对话感增强
摄影手法,反打镜头+情绪衔接
摄影手法,动态变焦+节奏感镜头
摄影手法,快速摇摄+混乱节奏
摄影手法,切换视角+主客交错
摄影手法,定格动画风+逐帧展示
摄影手法,近景切换+视觉聚焦
摄影手法,分屏并列镜头+对比叙事
平台风格,小红书爆款视频风格+淡粉色调+卡点剪辑
平台风格,抖音人物特写+动感音乐+BGM加速感
平台风格,Tiktok变装卡点视频+滤镜变化节奏快
平台风格,Instagram美妆风+柔焦+打光精准
平台风格,Youtube vlog叙事风格+头戴GoPro视角
平台风格,Bilibili二次元UP主风格+卡点特效+字幕跟随
平台风格,品牌广告包装风+高饱和+字幕边框
平台风格,电商短视频展示风+产品放大+定格+箭头
平台风格,电视剧片头风+慢入+角色介绍文字
平台风格,美食探店视频风+俯拍+特写+切换节奏快
平台风格,种草安利类视频风+试用+测评+弹幕感
平台风格,旅游纪实视频风+延时摄影+广角城市
平台风格,影视混剪视频风格+黑白慢镜+叠化闪回
平台风格,企业宣传片风格+清晰LOGO+蓝白基调
平台风格,综艺感预热视频+人物边框+闪动字幕
平台风格,AI换脸短视频风+脸部匹配+跳剪接
平台风格,游戏混剪风格+高对比度+视角切换
平台风格,情绪类视频风格+音乐主导+极简构图
平台风格,萌宠短视频风格+圆头滤镜+字幕卡通
平台风格,运动训练风格+高帧率+慢放动作+咔咔声效
影视风格,纪录片手持风格：真实环境光+轻微镜头晃动
影视风格,浪漫主义镜头：柔光+色彩渐变+慢速推镜
影视风格,新浪潮电影风格：突兀剪辑+非逻辑叙事
影视风格,荒诞剧风格：怪异构图+夸张表演+低饱和
影视风格,剧场舞台风：静态构图+中心打光+对称
影视风格,反乌托邦电影风格：灰蓝色调+压抑空间
影视风格,80年代美剧风：颗粒感+怀旧音乐+大字体标题
影视风格,90年代偶像剧风格：柔焦+梦幻滤镜+夸张表情
影视风格,警匪片风格：紧张节奏+追逐镜头+低光场景
影视风格,校园青春风格：明亮色彩+对称构图+轻音乐
影视风格,灾难电影风格：剧烈晃动+闪回叠化+广角特写
影视风格,科幻实验片风格：霓虹光+深色调+镜面反射
影视风格,舞台剧改编影像风：高对比黑白+台词为主
影视风格,宗教主题风格：庄严色调+静态构图
影视风格,现实主义电影风格：自然光+非演员+长镜头
影视风格,心理惊悚片风格：镜头错位+昏暗光影+变焦特写
影视风格,城市犯罪片风：夜景霓虹+快节奏剪辑
影视风格,民族文化电影风格：传统服饰+地方音乐+自然环境
影视风格,未来科幻风格：金属感强+HUD叠加界面
影视风格,复仇主题风格：慢镜头+阴郁配乐+特写眼神
画面质感,流光质感+边缘炫光
画面质感,漫画描边风格+黑白分明
画面质感,低像素风格+8bit配色
画面质感,牛皮纸质感+褪色画面
画面质感,镜头泛黄质感+老胶片感
画面质感,瓷砖反光质感+干净利落
画面质感,刺绣线条风+平面化构图
画面质感,金粉颗粒质感+梦幻模糊
画面质感,火焰特效质感+橙红过渡
画面质感,蓝色液态质感+流体转场
画面质感,裂纹屏幕风+数字失真
画面质感,雾面柔化质感+水汽遮挡
画面质感,玻璃碎片纹理+冷色透明
画面质感,科幻HUD质感+绿色扫描
画面质感,网格结构质感+结构线条
画面质感,纹理强化风格+粗糙画布
画面质感,金属腐蚀感+工业废墟风
画面质感,浓重素描风格+笔触交叠
画面质感,梦中虚幻画质+模糊景深
画面质感,霓虹倒影质感+街道水渍
灯光色调,青蓝夜色调+冷感氛围
灯光色调,玫瑰粉柔光+少女滤镜
灯光色调,绿色实验室灯+不安感
灯光色调,红蓝警灯交替闪烁
灯光色调,橘黄拂晓光线+暖意渐入
灯光色调,炽白阳光逆光拍摄
灯光色调,黄绿森林光+斑驳树影
灯光色调,紫色舞台灯+跳跃感
灯光色调,火光照明+动态色温变化
灯光色调,闪电亮光+黑白分明
灯光色调,车窗倒影灯+彩色动感
灯光色调,工业吊灯影+墙面长影
灯光色调,晨曦薄雾光+柔和无边界
灯光色调,窗边午后光+纸张飞舞
灯光色调,隧道低光照明+局部强光
灯光色调,教室日落光+金边发丝
灯光色调,高对比楼梯灯光+强影投射
灯光色调,夜色河畔灯光+折射波纹
灯光色调,货架上方灯+商品反光高光
灯光色调,电影院投影灯+粒子漂浮
摄影手法,超广角镜头拉伸感+透视极强
摄影手法,低机位仰拍+人物高大化
摄影手法,镜头虚焦切换+情绪递进
